penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.9,1,60,54,44,ClearNoon,Town01,90.0,50.324026107788086,0.5591558456420899,11,9,2,18,9,2,1,1,0,74718,6055,1740,167,21,670,18,True,41342,371044,371005,13,0,0,0,0.29685,0.3365,1,0,1
0.9,0,60,54,40,ClearNoon,Town05,90.0,76.43615984916687,0.849290664990743,4,4,0,6,4,0,0,0,0,90190,2584,444,116,23,39,7,True,46668,662321,662279,5,0,0,0,0.3015611111111111,0.3475,0,0,1
0.9,1,60,54,43,ClearNoon,Town05,90.0,73.79077076911926,0.819897452990214,3,3,0,5,2,1,0,0,0,90228,2557,680,91,19,50,6,True,46716,678565,678565,3,0,0,0,0.32387222222222223,0.393,1,0,0
0.9,0,60,54,56,ClearNoon,Town10HD_Opt,90.0,257.699476480484,2.8633275164498224,12,12,0,19,12,0,2,2,0,64731,7522,1397,192,11,185,21,True,36923,694788,694707,18,0,0,0,0.3662611111111111,0.4435,0,0,1
0.9,1,60,54,59,ClearNoon,Town10HD_Opt,90.0,224.41512298583984,2.4935013665093315,11,10,1,18,10,1,1,0,1,69734,7412,1814,195,16,228,19,True,39585,813463,813165,16,0,0,0,0.37139444444444436,0.4325,1,0,1
0.9,0,60,54,45,HardRainNoon,Town01,90.0,85.1885359287262,0.9465392880969578,9,7,2,15,9,0,1,1,0,77165,5717,1296,178,12,451,14,True,42180,417076,417032,11,0,0,0,0.3263888888888889,0.363,0,0,2
0.9,1,60,54,44,HardRainNoon,Town01,90.0,51.57512164115906,0.5730569071239895,11,9,2,18,9,2,1,1,0,74789,6047,1680,164,23,618,18,True,41342,371058,371019,13,0,0,0,0.29670555555555556,0.3365,1,0,1
0.9,0,60,54,40,HardRainNoon,Town05,90.0,76.51212334632874,0.8501347038480971,4,4,0,6,4,0,0,0,0,90190,2584,444,116,23,39,7,True,46668,662321,662279,5,0,0,0,0.3015611111111111,0.3475,0,0,1
0.9,1,60,54,43,HardRainNoon,Town05,90.0,78.51538467407227,0.8723931630452474,3,3,0,5,2,1,0,0,0,90228,2557,680,91,19,50,6,True,46716,678565,678565,3,0,0,0,0.32387222222222223,0.393,1,0,0
0.9,0,60,54,56,HardRainNoon,Town10HD_Opt,90.0,258.8616440296173,2.8762404892179703,12,12,0,19,12,0,2,2,0,64731,7522,1397,192,11,185,21,True,36923,694788,694707,18,0,0,0,0.3662611111111111,0.4435,0,0,1
0.9,1,60,54,59,HardRainNoon,Town10HD_Opt,90.0,210.93199491500854,2.3436888323889837,11,10,1,18,10,1,1,0,1,69734,7412,1814,195,16,228,19,True,39585,813463,813165,16,0,0,0,0.37139444444444436,0.4325,1,0,1
1.0,0,60,60,45,ClearNoon,Town01,90.0,78.63938236236572,0.8737709151373969,7,5,2,10,7,0,1,1,0,89209,6359,1678,232,45,574,10,True,48740,518890,518864,10,0,0,0,0.35122222222222216,0.4075,0,0,0
1.0,1,60,60,44,ClearNoon,Town01,90.0,59.95430779457092,0.6661589754952325,8,6,2,13,8,0,0,0,0,84916,6481,1555,205,39,514,13,True,46581,503707,503650,13,0,0,0,0.32016666666666665,0.3665,0,0,0
1.0,0,60,60,40,ClearNoon,Town05,90.0,127.72773385047913,1.4191970427831013,3,3,0,5,3,0,0,0,0,95256,3919,736,133,16,80,6,True,50000,808026,807952,6,0,0,0,0.33705555555555555,0.396,0,0,0
1.0,1,60,60,43,ClearNoon,Town05,90.0,84.60778164863586,0.9400864627626208,3,2,1,4,3,0,1,1,0,100871,3645,831,147,38,85,4,True,52700,802029,802004,4,0,0,0,0.3548444444444444,0.3875,0,0,0
1.0,0,60,60,56,ClearNoon,Town10HD_Opt,90.0,385.84205079078674,4.2871338976754085,8,7,1,13,8,0,1,1,0,78123,10349,1741,319,26,259,13,True,45270,1049261,1049115,13,0,0,0,0.44488333333333335,0.5005,0,0,0
1.0,1,60,60,59,ClearNoon,Town10HD_Opt,90.0,267.3015320301056,2.970017022556729,11,11,0,18,11,0,0,0,0,76184,8181,1829,228,13,254,21,True,43217,969643,969436,21,0,0,0,0.4262888888888889,0.5155,0,0,0
1.0,0,60,60,45,HardRainNoon,Town01,90.0,78.22053456306458,0.8691170507007175,7,5,2,10,7,0,1,1,0,89209,6359,1678,232,45,574,10,True,48740,518890,518864,10,0,0,0,0.35122222222222216,0.4075,0,0,0
1.0,1,60,60,44,HardRainNoon,Town01,90.0,61.63458466529846,0.6848287185033163,8,6,2,13,8,0,0,0,0,84916,6481,1555,205,39,514,13,True,46581,503707,503650,13,0,0,0,0.32016666666666665,0.3665,0,0,0
1.0,0,60,60,40,HardRainNoon,Town05,90.0,128.40712332725525,1.4267458147472805,3,3,0,5,3,0,0,0,0,95256,3919,736,133,16,80,6,True,50000,808026,807952,6,0,0,0,0.33705555555555555,0.396,0,0,0
1.0,1,60,60,43,HardRainNoon,Town05,90.0,82.11020255088806,0.9123355838987562,3,2,1,4,3,0,1,1,0,100871,3645,831,147,38,85,4,True,52700,802029,802004,4,0,0,0,0.3548444444444444,0.3875,0,0,0
1.0,0,60,60,56,HardRainNoon,Town10HD_Opt,90.0,388.6981110572815,4.318867900636461,8,7,1,13,8,0,1,1,0,78123,10349,1741,319,26,259,13,True,45270,1049261,1049115,13,0,0,0,0.44488333333333335,0.5005,0,0,0
1.0,1,60,60,59,HardRainNoon,Town10HD_Opt,90.0,261.4032127857208,2.904480142063565,11,11,0,18,11,0,0,0,0,76184,8181,1829,228,13,254,21,True,43217,969643,969436,21,0,0,0,0.4262888888888889,0.5155,0,0,0
