penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,60,44.8,ClearNoon,Town01,5,1388.6,25.579288496750646,0.0,0.0,1388.6,25.579288496750646,1.8,1.6431676725154984,0.0,0.0,1.8,1.6431676725154984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.6584152555465699,0.004370036280512471
0.0,60,42.0,ClearNoon,Town05,5,1258.4,145.76796630261396,0.0,0.0,1258.4,145.76796630261396,0.6,0.8944271909999159,0.0,0.0,0.6,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.6994557277361552,0.008369888427140216
0.0,60,59.2,ClearNoon,Town10HD_Opt,5,1401.8,29.516097302997224,0.0,0.0,1401.8,29.516097302997224,3.8,2.588435821108957,0.0,0.0,3.8,2.588435821108957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.8154499785105388,0.03547101580875602
0.0,60,44.25,ClearSunset,Town01,4,1411.25,28.1232406857152,0.0,0.0,1411.25,28.1232406857152,2.25,2.217355782608345,0.0,0.0,2.25,2.217355782608345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.6872906327247619,0.010323452050892752
0.0,60,42.0,ClearSunset,Town05,5,1123.8,275.5008166957042,0.0,0.0,1123.8,275.5008166957042,0.6,0.8944271909999159,0.0,0.0,0.6,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.7152914436658223,0.0049525524433452215
0.0,60,59.2,ClearSunset,Town10HD_Opt,5,1406.0,28.956864471140516,0.0,0.0,1406.0,28.956864471140516,1.2,0.8366600265340756,0.0,0.0,1.2,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.8143676952521005,0.010544802539289522
0.0,60,44.25,HardRainNoon,Town01,4,1377.25,24.904818810824544,0.0,0.0,1377.25,24.904818810824544,2.75,3.2015621187164243,0.0,0.0,2.75,3.2015621187164243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.7515790611505508,0.025153443918655965
0.0,60,42.0,HardRainNoon,Town05,5,1159.2,146.54077930733138,0.0,0.0,1159.2,146.54077930733138,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.7713727760314942,0.004193165178956854
0.0,60,59.2,HardRainNoon,Town10HD_Opt,5,1403.4,42.24689337690997,0.0,0.0,1403.4,42.24689337690997,4.8,4.604345773288535,0.0,0.0,4.8,4.604345773288535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.8187509981791179,0.007522906776403781
0.5,60,44.8,ClearNoon,Town01,5,1422.6,25.065913109240604,700.4,165.7386496867885,722.2,172.52304193933054,1.2,0.8366600265340756,0.6,0.8944271909999159,0.6,0.8944271909999159,1295.2,494.49843275788044,2406.0,264.2867760596432,2293.2,158.20145384919823,22.4,6.18869937870632,0.0,0.0,0.016375000000000008,0.0,0.8179342742760977,0.019096775151503757
0.5,60,42.0,ClearNoon,Town05,5,1078.0,274.71530718181685,530.8,122.59159840706866,547.2,190.20042060941927,0.8,0.8366600265340756,0.6,0.8944271909999157,0.2,0.447213595499958,2696.0,465.392307628736,1323.8,243.16804888800667,1308.8,93.39004229573942,22.4,3.9749213828703582,0.0,0.0,0.016375000000000008,0.0,0.9567217143376668,0.03797081489344444
0.5,60,59.2,ClearNoon,Town10HD_Opt,5,1416.8,22.027255843613382,735.4,24.17229819442082,681.4,31.229793467136474,3.4,1.9493588689617927,1.4,0.8944271909999159,2.0,1.4142135623730951,2854.0,796.558535200019,3535.0,479.8713369227214,4177.8,283.8533071852431,91.0,25.942243542145693,0.0,0.0,0.016375000000000008,0.0,1.1867853744824726,0.04421816337159777
0.5,60,44.8,ClearSunset,Town01,5,1428.6,32.799390238234615,698.2,151.48828337531586,730.4,177.6634458744961,1.0,1.0,0.6,0.8944271909999159,0.4,0.8944271909999161,1428.6,310.44613059273263,2360.0,309.80074241357136,2515.4,436.5722162483545,33.6,14.604793733565703,0.0,0.0,0.016375000000000008,0.0,0.8307425502936046,0.01358536630264503
0.5,60,42.0,ClearSunset,Town05,5,1209.6,155.34896201777468,569.6,123.60946565696334,640.0,74.06078584514209,0.6,0.8944271909999157,0.6,0.8944271909999157,0.0,0.0,2896.8,870.8591734603248,1323.6,150.2641008358284,1486.2,355.0347870279756,26.4,7.635443667528429,0.0,0.0,0.016375000000000008,0.0,0.9768787372112273,0.04214255798407412
0.5,60,59.2,ClearSunset,Town10HD_Opt,5,1394.2,21.428952377566198,746.0,78.7051459562842,648.2,91.06426302342759,3.0,1.8708286933869707,1.0,0.7071067811865476,2.0,1.5811388300841898,2551.4,501.90367601761994,3485.0,166.39561292293737,3951.4,157.2332662002542,92.0,17.219175357722563,0.0,0.0,0.016375000000000008,0.0,1.182245453198751,0.010568934812622015
0.5,60,44.8,HardRainNoon,Town01,5,1397.2,16.361540269791227,733.8,112.06114402414426,663.4,102.48316934989862,1.8,2.04939015319192,1.0,1.0,0.8,1.7888543819998322,1124.2,194.8722658563809,2086.8,308.6465616202455,2097.8,608.5258416862837,22.4,5.683308895353129,0.0,0.0,0.016375000000000008,0.0,0.8672205114364624,0.01613134875684377
