penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,primary_collision_count_mean,primary_collision_count_std,secondary_collision_count_mean,secondary_collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cooperative_brakes_mean,cooperative_brakes_std,frozen_vehicle_count_mean,frozen_vehicle_count_std,v2v_received_total_mean,v2v_received_total_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.5,60,41.5,HardRainNoon,Town05,2,9.5,0.7071067811865476,8.5,0.7071067811865476,1.0,1.4142135623730951,4.0,1.4142135623730951,5.5,0.7071067811865476,1.0,0.0,0.0,0.0,1.0,0.0,71.0,70.71067811865476,339.0,127.27922061357856,991.0,62.22539674441618,9.0,4.242640687119285,4.5,0.7071067811865476,7.0,9.899494936611665,17.0,0.0,195978.0,3613.3156518632577,0.159525,0.004222998832086319,0.3778675410482618,0.04064708943390256
0.5,60,57.5,HardRainNoon,Town10HD_Opt,2,21.0,0.0,13.5,2.1213203435596424,7.5,2.1213203435596424,10.5,0.7071067811865476,10.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,103.0,8.48528137423857,834.5,245.36605307173198,4419.5,876.1053018901324,6.5,4.949747468305833,11.5,0.7071067811865476,67.5,16.263455967290593,33.0,2.8284271247461903,224219.0,45242.10607387769,0.19314166666666666,0.00372802408525577,0.7630132993062337,0.09835556406618966
0.9,60,44.5,ClearNoon,Town01,2,10.0,1.4142135623730951,8.0,1.4142135623730951,2.0,0.0,9.0,0.0,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,0.0,0.0,172.5,7.7781745930520225,1518.0,313.9554108468271,5886.0,239.00209204105306,16.5,6.363961030678928,12.0,1.4142135623730951,560.5,154.8563850798539,16.0,2.8284271247461903,394018.5,32546.003817673223,0.31161944444444445,0.020887148642049297,0.7589740090899997,0.282585556756518
0.9,60,41.5,ClearNoon,Town05,2,3.5,0.7071067811865476,3.5,0.7071067811865476,0.0,0.0,3.0,1.4142135623730951,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,103.5,17.67766952966369,562.0,166.87720036002523,2570.5,19.091883092036785,21.0,2.8284271247461903,4.0,1.4142135623730951,44.5,7.7781745930520225,6.5,0.7071067811865476,670422.0,11515.941038404113,0.31271666666666664,0.015776337962473196,0.8345940589904786,0.020784139526427877
0.9,60,57.5,ClearNoon,Town10HD_Opt,2,11.5,0.7071067811865476,11.0,1.4142135623730951,0.5,0.7071067811865476,11.0,1.4142135623730951,0.5,0.7071067811865476,1.5,0.7071067811865476,1.0,1.4142135623730951,0.5,0.7071067811865476,193.5,2.1213203435596424,1605.5,294.8635277547903,7467.0,77.78174593052023,13.5,3.5355339059327378,17.0,1.4142135623730951,206.5,30.405591591021544,20.0,1.4142135623730951,753936.0,83762.45508579604,0.36882777777777775,0.0036298148100908974,2.678414441479577,0.261506578483034
0.9,60,44.5,HardRainNoon,Town01,2,10.0,1.4142135623730951,8.0,1.4142135623730951,2.0,0.0,9.0,0.0,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,0.0,0.0,171.0,9.899494936611665,1488.0,271.5290039756342,5882.0,233.3452377915607,17.5,7.7781745930520225,12.0,1.4142135623730951,534.5,118.08683245815344,16.0,2.8284271247461903,394025.5,32536.10432273661,0.3115472222222222,0.02098928628822069,0.7597980976104737,0.2640919242396835
0.9,60,41.5,HardRainNoon,Town05,2,3.5,0.7071067811865476,3.5,0.7071067811865476,0.0,0.0,3.0,1.4142135623730951,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,103.5,17.67766952966369,562.0,166.87720036002523,2570.5,19.091883092036785,21.0,2.8284271247461903,4.0,1.4142135623730951,44.5,7.7781745930520225,6.5,0.7071067811865476,670422.0,11515.941038404113,0.31271666666666664,0.015776337962473196,0.8612639334466723,0.015739107437069057
0.9,60,57.5,HardRainNoon,Town10HD_Opt,2,11.5,0.7071067811865476,11.0,1.4142135623730951,0.5,0.7071067811865476,11.0,1.4142135623730951,0.5,0.7071067811865476,1.5,0.7071067811865476,1.0,1.4142135623730951,0.5,0.7071067811865476,193.5,2.1213203435596424,1605.5,294.8635277547903,7467.0,77.78174593052023,13.5,3.5355339059327378,17.0,1.4142135623730951,206.5,30.405591591021544,20.0,1.4142135623730951,753936.0,83762.45508579604,0.36882777777777775,0.0036298148100908974,2.609964660803477,0.37657088787590753
1.0,60,44.5,ClearNoon,Town01,2,7.5,0.7071067811865476,5.5,0.7071067811865476,2.0,0.0,7.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,218.5,19.091883092036785,1616.5,86.97413408594535,6420.0,86.2670273047588,42.0,4.242640687119285,11.5,2.1213203435596424,544.0,42.42640687119285,11.5,2.1213203435596424,511257.0,10757.922568972133,0.3356944444444444,0.021959593926848854,0.7699649453163147,0.14680381037626666
1.0,60,41.5,ClearNoon,Town05,2,3.0,0.0,2.5,0.7071067811865476,0.5,0.7071067811865476,3.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,140.0,9.899494936611665,783.5,67.17514421272202,3782.0,193.74725804511402,27.0,15.556349186104045,5.0,1.4142135623730951,82.5,3.5355339059327378,5.0,1.4142135623730951,804978.0,4205.8711344975845,0.34595,0.012578643963107337,1.179641752772861,0.3387823400707018
1.0,60,57.5,ClearNoon,Town10HD_Opt,2,9.5,2.1213203435596424,9.0,2.8284271247461903,0.5,0.7071067811865476,9.5,2.1213203435596424,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,273.5,64.34671708797582,1785.0,62.22539674441618,9265.0,1533.0075016124351,19.5,9.192388155425117,17.0,5.656854249492381,256.5,3.5355339059327378,17.0,5.656854249492381,1009275.5,56341.56121816292,0.4355861111111111,0.01314825775906321,3.6285754601160685,0.9313422740116535
1.0,60,44.5,HardRainNoon,Town01,2,7.5,0.7071067811865476,5.5,0.7071067811865476,2.0,0.0,7.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,218.5,19.091883092036785,1616.5,86.97413408594535,6420.0,86.2670273047588,42.0,4.242640687119285,11.5,2.1213203435596424,544.0,42.42640687119285,11.5,2.1213203435596424,511257.0,10757.922568972133,0.3356944444444444,0.021959593926848854,0.776972884602017,0.1303115293903416
1.0,60,41.5,HardRainNoon,Town05,2,3.0,0.0,2.5,0.7071067811865476,0.5,0.7071067811865476,3.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,140.0,9.899494936611665,783.5,67.17514421272202,3782.0,193.74725804511402,27.0,15.556349186104045,5.0,1.4142135623730951,82.5,3.5355339059327378,5.0,1.4142135623730951,804978.0,4205.8711344975845,0.34595,0.012578643963107337,1.1695406993230184,0.3637429625447288
1.0,60,57.5,HardRainNoon,Town10HD_Opt,2,9.5,2.1213203435596424,9.0,2.8284271247461903,0.5,0.7071067811865476,9.5,2.1213203435596424,0.0,0.0,0.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,273.5,64.34671708797582,1785.0,62.22539674441618,9265.0,1533.0075016124351,19.5,9.192388155425117,17.0,5.656854249492381,256.5,3.5355339059327378,17.0,5.656854249492381,1009275.5,56341.56121816292,0.4355861111111111,0.01314825775906321,3.611674021350013,1.0001231753141366
