arm,v2x_enabled,v2v_enabled,map,weather,seed,penetration,n_vehicles,n_cavs,n_walkers,duration_s,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian,hdv_hit_pedestrian,coll_attentive,coll_distracted,coll_aggressive_hostile,coll_ai_realistic,frozen_vehicle_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,v2v_received_total,v2v_deliveries_emitted,publishes_emitted,publishes_dropped,cbr_mean,dead_cav_count,decode_errors,wall_seconds,wall_to_sim_ratio,status
v2i_only,True,False,Town01,ClearNoon,1,0.9,60,54,44,90.0,9,7,2,17,7,2,0,0,0,1,0,2,6,16,78110,4949,977,679,21,0,0,0,2700,0,0.0163,11,0,62.9,0.699,ok
v2i_only,True,False,Town01,ClearNoon,1,1.0,60,60,44,90.0,7,5,2,12,7,0,0,0,0,0,0,0,7,12,87492,5626,1003,875,42,0,0,0,2700,0,0.0163,12,0,64.2,0.713,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,55.2,0.614,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.5,60,30,44,90.0,13,10,3,24,6,7,0,0,0,2,2,6,3,23,41986,2293,493,466,23,0,0,0,2700,0,0.0163,8,0,60.2,0.669,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.9,60,54,44,90.0,9,7,2,17,7,2,0,0,0,1,0,1,7,16,76658,4783,872,951,14,0,0,0,2700,0,0.0163,11,0,67.2,0.746,ok
v2i_only,True,False,Town01,HardRainNoon,1,1.0,60,60,44,90.0,7,5,2,13,7,0,0,0,0,0,0,0,7,12,85624,5639,1157,946,23,0,0,0,2700,0,0.0163,12,0,69.6,0.774,ok
v2i_only,True,False,Town05,ClearNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,52.3,0.581,ok
v2i_only,True,False,Town05,ClearNoon,1,0.5,60,30,43,90.0,7,7,0,13,3,4,0,0,0,1,0,5,1,14,49689,1166,428,870,5,0,0,0,2700,0,0.0163,4,0,59.3,0.659,ok
v2i_only,True,False,Town05,ClearNoon,1,0.9,60,54,43,90.0,5,5,0,10,5,0,0,0,0,0,0,0,5,10,88154,2154,679,1419,20,0,0,0,2700,0,0.0163,8,0,67.3,0.747,ok
v2i_only,True,False,Town05,ClearNoon,1,1.0,60,60,43,90.0,3,3,0,5,3,0,0,0,0,0,0,0,3,5,98739,2569,764,950,32,0,0,0,2700,0,0.0163,5,0,72.1,0.801,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.626,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.5,60,30,43,90.0,6,5,1,11,3,3,0,0,0,0,0,4,2,11,50101,1125,362,238,4,0,0,0,2700,0,0.0163,3,0,62.6,0.696,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.9,60,54,43,90.0,4,4,0,7,3,1,0,0,0,1,0,0,3,8,88251,2143,617,1369,29,0,0,0,2700,0,0.0163,5,0,76.6,0.851,ok
v2i_only,True,False,Town05,HardRainNoon,1,1.0,60,60,43,90.0,1,1,0,2,1,0,0,0,0,0,0,0,1,2,100241,2519,648,1242,26,0,0,0,2700,0,0.0163,2,0,78.1,0.868,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,57.5,0.639,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.5,60,30,59,90.0,19,14,5,32,11,8,1,0,1,5,2,3,9,31,36721,3055,894,1328,37,0,0,0,2700,0,0.0164,13,0,76.7,0.852,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.9,60,54,59,90.0,9,8,1,17,8,1,0,0,0,1,0,0,8,17,72309,6731,1537,1721,62,0,0,0,2700,0,0.0163,14,0,94.6,1.051,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,1.0,60,60,59,90.0,8,7,1,13,8,0,0,0,0,0,0,0,8,15,82036,7606,1525,1719,49,0,0,0,2700,0,0.0163,15,0,96.1,1.068,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,70.9,0.788,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.5,60,30,59,90.0,16,13,3,28,6,10,1,0,1,7,1,4,4,28,41562,4009,929,548,35,0,0,0,2700,0,0.0163,7,0,71.6,0.796,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.9,60,54,59,90.0,10,8,2,17,10,0,0,0,0,0,1,0,9,18,71965,7069,1584,1151,89,0,0,0,2700,0,0.0163,17,0,79.7,0.886,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,1.0,60,60,59,90.0,11,10,1,20,11,0,0,0,0,0,0,0,11,21,79986,7867,1682,1389,112,0,0,0,2700,0,0.0163,21,0,86.1,0.957,ok
v2v_only,False,True,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17.7,0.196,ok
v2v_only,False,True,Town01,ClearNoon,1,0.5,60,30,44,90.0,14,10,4,25,7,7,0,0,0,2,2,7,3,24,42606,2548,719,45,7,136,152764,152778,0,0,0.1666,8,0,32.3,0.359,ok
v2v_only,False,True,Town01,ClearNoon,1,0.9,60,54,44,90.0,11,9,2,18,9,2,1,1,0,1,0,1,9,18,74718,6055,1740,167,21,670,371005,371044,0,0,0.2969,13,0,50.3,0.559,ok
v2v_only,False,True,Town01,ClearNoon,1,1.0,60,60,44,90.0,8,6,2,13,8,0,0,0,0,0,0,0,8,13,84916,6481,1555,205,39,514,503650,503707,0,0,0.3202,13,0,60.0,0.666,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18.1,0.201,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.5,60,30,44,90.0,14,10,4,25,7,7,0,0,0,2,2,7,3,24,42606,2548,719,45,7,136,152764,152778,0,0,0.1666,8,0,31.1,0.346,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.9,60,54,44,90.0,11,9,2,18,9,2,1,1,0,1,0,1,9,18,74789,6047,1680,164,23,618,371019,371058,0,0,0.2967,13,0,51.6,0.573,ok
v2v_only,False,True,Town01,HardRainNoon,1,1.0,60,60,44,90.0,8,6,2,13,8,0,0,0,0,0,0,0,8,13,84916,6481,1555,205,39,514,503650,503707,0,0,0.3202,13,0,61.6,0.685,ok
v2v_only,False,True,Town05,ClearNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17.8,0.198,ok
v2v_only,False,True,Town05,ClearNoon,1,0.5,60,30,43,90.0,9,9,0,16,3,6,1,0,1,1,0,7,1,17,49226,1035,429,121,12,0,198533,198556,0,0,0.1625,4,0,32.2,0.357,ok
v2v_only,False,True,Town05,ClearNoon,1,0.9,60,54,43,90.0,3,3,0,5,2,1,0,0,0,1,0,0,2,6,90228,2557,680,91,19,50,678565,678565,0,0,0.3239,3,0,73.8,0.82,ok
v2v_only,False,True,Town05,ClearNoon,1,1.0,60,60,43,90.0,3,2,1,4,3,0,1,1,0,0,0,0,3,4,100871,3645,831,147,38,85,802004,802029,0,0,0.3548,4,0,84.6,0.94,ok
v2v_only,False,True,Town05,HardRainNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18.0,0.2,ok
v2v_only,False,True,Town05,HardRainNoon,1,0.5,60,30,43,90.0,9,9,0,16,3,6,1,0,1,1,0,7,1,17,49226,1035,429,121,12,0,198533,198556,0,0,0.1625,4,0,31.4,0.349,ok
v2v_only,False,True,Town05,HardRainNoon,1,0.9,60,54,43,90.0,3,3,0,5,2,1,0,0,0,1,0,0,2,6,90228,2557,680,91,19,50,678565,678565,0,0,0.3239,3,0,78.5,0.872,ok
v2v_only,False,True,Town05,HardRainNoon,1,1.0,60,60,43,90.0,3,2,1,4,3,0,1,1,0,0,0,0,3,4,100871,3645,831,147,38,85,802004,802029,0,0,0.3548,4,0,82.1,0.912,ok
v2v_only,False,True,Town10HD_Opt,ClearNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20.4,0.226,ok
v2v_only,False,True,Town10HD_Opt,ClearNoon,1,0.5,60,30,59,90.0,21,15,6,38,10,11,0,0,0,7,4,5,5,35,36387,5039,1008,109,10,79,256210,256273,0,0,0.1958,12,0,60.8,0.676,ok
v2v_only,False,True,Town10HD_Opt,ClearNoon,1,0.9,60,54,59,90.0,11,10,1,18,10,1,1,0,1,1,0,1,9,19,69734,7412,1814,195,16,228,813165,813463,0,0,0.3714,16,0,224.4,2.494,ok
v2v_only,False,True,Town10HD_Opt,ClearNoon,1,1.0,60,60,59,90.0,11,11,0,18,11,0,0,0,0,0,0,0,11,21,76184,8181,1829,228,13,254,969436,969643,0,0,0.4263,21,0,267.3,2.97,ok
v2v_only,False,True,Town10HD_Opt,HardRainNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20.2,0.224,ok
v2v_only,False,True,Town10HD_Opt,HardRainNoon,1,0.5,60,30,59,90.0,21,15,6,38,10,11,0,0,0,7,4,5,5,35,36387,5039,1008,109,10,79,256210,256273,0,0,0.1958,12,0,62.4,0.693,ok
v2v_only,False,True,Town10HD_Opt,HardRainNoon,1,0.9,60,54,59,90.0,11,10,1,18,10,1,1,0,1,1,0,1,9,19,69734,7412,1814,195,16,228,813165,813463,0,0,0.3714,16,0,210.9,2.344,ok
v2v_only,False,True,Town10HD_Opt,HardRainNoon,1,1.0,60,60,59,90.0,11,11,0,18,11,0,0,0,0,0,0,0,11,21,76184,8181,1829,228,13,254,969436,969643,0,0,0.4263,21,0,261.4,2.904,ok
