penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.9,60,44.8,ClearNoon,Town01,5,1371.4,35.3595814454866,1247.4,9.289779329994873,124.0,34.5470693402494,0.8,0.4472135954999579,0.6,0.5477225575051662,0.2,0.44721359549995804,2387.0,383.8352511169343,3854.0,280.17405304560236,3599.0,285.70614274110386,50.0,8.74642784226795,0.2,0.447213595499958,0.016375000000000008,0.0,0.9230981286366781,0.02829906680836493
0.9,60,42.0,ClearNoon,Town05,5,982.0,304.2474321995175,868.6,254.70826449096623,113.4,74.81844692320203,0.8,1.30384048104053,0.6,0.8944271909999159,0.2,0.44721359549995804,6488.8,346.60597225091203,1881.0,491.41275929711065,2245.8,359.04136251969635,30.8,9.78263768111648,0.0,0.0,0.016375000000000008,0.0,1.2092405895392102,0.04454957417025262
0.9,60,59.25,ClearNoon,Town10HD_Opt,4,1364.5,27.0,1231.75,46.82858813445764,132.75,72.23284109969185,3.25,2.8722813232690143,2.75,3.095695936834452,0.5,1.0,5490.75,308.7376178353825,5857.75,313.36068143062664,6765.25,298.1077825216913,213.25,68.0018382104484,0.0,0.0,0.016376041666666674,2.083333333333104e-06,1.5554341688752173,0.05417186171739134
0.9,60,44.8,ClearSunset,Town01,5,1376.2,27.33495930123182,1242.6,48.69599572860175,133.6,51.36925150320958,3.0,4.0,2.6,4.219004621945797,0.4,0.8944271909999161,2525.2,564.5477836286314,3968.6,348.6306068032467,4068.4,443.6026375034305,53.2,16.69431040804022,0.0,0.0,0.016375000000000008,0.0,0.9138686835765839,0.020929330933213263
0.9,60,42.0,ClearSunset,Town05,5,1027.8,177.50408446004843,897.8,90.17039425443365,130.0,112.34544939604808,0.8,1.30384048104053,0.8,1.30384048104053,0.0,0.0,5375.4,1734.4708991505163,1727.6,174.34104508118563,2026.2,199.73407320735237,41.2,11.819475453673906,0.0,0.0,0.016375000000000008,0.0,1.226659882068634,0.08069733747567533
0.9,60,59.2,ClearSunset,Town10HD_Opt,5,1394.8,31.86220331364421,1260.4,40.21566858825052,134.4,62.98650649147006,2.8,1.3038404810405297,2.2,0.4472135954999579,0.6,0.8944271909999159,5035.6,505.7373824427061,6054.0,668.0572580250888,6779.8,492.9449259298649,181.4,41.2831684830513,0.0,0.0,0.016375000000000008,0.0,1.4698037453492483,0.0441462898239858
0.9,60,44.8,HardRainNoon,Town01,5,1376.4,31.910813214332222,1214.0,44.73253849269008,162.4,25.373214222876847,0.4,0.5477225575051662,0.2,0.44721359549995804,0.2,0.44721359549995804,1959.6,609.9272907486596,3911.6,387.60521152327146,3751.0,187.67125512448624,46.2,8.871302046486749,0.2,0.44721359549995804,0.016375000000000008,0.0,0.951761197646459,0.013295767927872609
0.9,60,42.0,HardRainNoon,Town05,5,953.6,291.2263724321683,841.0,206.8260138377182,112.6,117.0845848094445,1.0,1.0,0.8,0.8366600265340756,0.2,0.44721359549995804,6086.4,2370.0313921971583,2050.8,282.7714624922395,2046.0,374.73523986943104,38.6,11.631852818876277,0.0,0.0,0.016375000000000008,0.0,1.263581933180491,0.08165365748572447
0.9,60,59.2,HardRainNoon,Town10HD_Opt,5,1387.0,18.069310999592652,1234.8,51.97787991059273,152.2,69.4600604664292,2.4,1.8165902124584952,2.0,1.8708286933869707,0.4,0.5477225575051662,4664.2,477.6255855793322,5309.6,206.71550498208885,6593.2,210.24200341511207,175.8,39.07940634144792,0.0,0.0,0.016375000000000008,0.0,1.3933056700229645,0.051619125366089404
