penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.9,0,60,54,60,ClearSunset,Town10HD_Opt,120.0,171.31913232803345,1.4276594360669455,1344,25000,1321,23,2,2,0,111959,6443,5824,5374,229,0,0,3600,0,0.016375000000000008,0.0165,643,366,335
0.9,1,60,54,59,ClearSunset,Town10HD_Opt,120.0,174.6828544139862,1.4556904534498851,1384,25000,1210,174,2,2,0,113013,6417,5540,4630,118,0,0,3600,0,0.016375000000000008,0.0165,676,205,503
0.9,2,60,54,59,ClearSunset,Town10HD_Opt,120.0,181.7079348564148,1.5142327904701234,1416,25000,1247,169,5,3,2,111404,6784,6459,4953,199,0,0,3600,0,0.016375000000000008,0.0165,754,308,354
0.9,3,60,54,59,ClearSunset,Town10HD_Opt,120.0,171.87178349494934,1.432264862457911,1408,25000,1256,152,2,2,0,110459,7620,7013,4508,170,0,0,3600,0,0.016375000000000008,0.0165,682,339,387
0.9,4,60,54,59,ClearSunset,Town10HD_Opt,120.0,182.30054211616516,1.5191711843013764,1422,25000,1268,154,3,2,1,111818,6635,5434,5713,191,0,0,3600,0,0.016375000000000008,0.0165,528,308,586
0.9,0,60,54,45,HardRainNoon,Town01,120.0,113.4389545917511,0.9453246215979259,1403,25000,1246,157,1,1,0,120577,3731,3313,1901,52,1,0,3600,0,0.016375000000000008,0.0165,758,267,378
0.9,1,60,54,44,HardRainNoon,Town01,120.0,112.3760154247284,0.9364667952060699,1403,25000,1267,136,1,0,1,120213,3772,4001,1614,40,0,0,3600,0,0.016375000000000008,0.0165,694,343,366
0.9,2,60,54,47,HardRainNoon,Town01,120.0,116.65937757492065,0.9721614797910054,1390,25000,1193,197,0,0,0,119965,4038,3767,1830,59,0,0,3600,0,0.016375000000000008,0.0165,632,287,471
0.9,3,60,54,44,HardRainNoon,Town01,120.0,113.96580362319946,0.9497150301933288,1332,25000,1153,179,0,0,0,118662,3697,4238,3003,39,0,0,3600,0,0.016375000000000008,0.0165,772,318,242
0.9,4,60,54,44,HardRainNoon,Town01,120.0,114.61656737327576,0.9551380614439646,1354,25000,1211,143,0,0,0,120394,3517,4239,1450,41,0,0,3600,0,0.016375000000000008,0.0165,608,197,549
0.9,0,60,54,42,HardRainNoon,Town05,120.0,155.94244027137756,1.299520335594813,998,18798,966,32,2,2,0,117932,1972,1938,7758,23,0,0,3600,0,0.016375000000000008,0.0165,528,208,262
0.9,1,60,54,43,HardRainNoon,Town05,120.0,154.6503336429596,1.2887527803579966,510,9304,493,17,0,0,0,119046,1754,1738,7062,33,0,0,3600,0,0.016375000000000008,0.0165,203,159,148
0.9,2,60,54,41,HardRainNoon,Town05,120.0,164.02267956733704,1.366855663061142,1324,25000,1014,310,2,1,1,117613,2444,2017,7526,54,0,0,3600,0,0.016375000000000008,0.0165,537,416,371
0.9,3,60,54,42,HardRainNoon,Town05,120.0,143.78876161575317,1.1982396801312765,930,17574,826,104,0,0,0,122662,2425,2507,2006,39,0,0,3600,0,0.016375000000000008,0.0165,432,195,303
0.9,4,60,54,42,HardRainNoon,Town05,120.0,139.7449448108673,1.1645412067572276,1006,18598,906,100,1,1,0,119831,1635,2054,6080,44,0,0,3600,0,0.016375000000000008,0.0165,470,151,385
0.9,0,60,54,60,HardRainNoon,Town10HD_Opt,120.0,160.0154585838318,1.333462154865265,1355,25000,1322,33,3,3,0,113216,6414,5444,4526,189,0,0,3600,0,0.016375000000000008,0.0165,619,344,392
0.9,1,60,54,59,HardRainNoon,Town10HD_Opt,120.0,171.56049919128418,1.4296708265940348,1395,25000,1238,157,4,3,1,113595,6670,5054,4281,117,0,0,3600,0,0.016375000000000008,0.0165,591,290,514
0.9,2,60,54,59,HardRainNoon,Town10HD_Opt,120.0,173.27704000473022,1.4439753333727519,1392,25000,1213,179,1,0,1,112301,6906,5491,4902,169,0,0,3600,0,0.016375000000000008,0.0165,689,266,437
0.9,3,60,54,59,HardRainNoon,Town10HD_Opt,120.0,170.0690941810608,1.41724245150884,1394,25000,1214,180,0,0,0,113337,6585,5442,4236,225,0,0,3600,0,0.016375000000000008,0.0165,656,366,372
0.9,4,60,54,59,HardRainNoon,Town10HD_Opt,120.0,161.0613100528717,1.342177583773931,1399,25000,1187,212,4,4,0,112716,6391,5117,5376,179,0,0,3600,0,0.016375000000000008,0.0165,590,319,490
