penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
1.0,0,60,60,60,ClearNoon,Town10HD_Opt,120.0,1389.8449556827545,11.582041297356287,3,6,3,0,0,0,0,57033,991,14514,59956,37,13006,6,True,66248,1787194,1787044,10,0,3600,0,0.42697499999999994,0.4615,0,0,0
1.0,0,60,60,60,ClearSunset,Town10HD_Opt,120.0,1410.9691534042358,11.758076278368632,3,5,3,0,0,0,0,55414,1526,15099,63133,24,13874,5,True,67587,1843239,1843023,9,0,3600,0,0.4235,0.4675,0,0,0
