penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cooperative_brakes_mean,cooperative_brakes_std,frozen_vehicle_count_mean,frozen_vehicle_count_std,v2v_received_total_mean,v2v_received_total_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,60,44.8,ClearNoon,Town01,5,40.6,2.3021728866442674,0.0,0.0,40.6,2.3021728866442674,0.2,0.447213595499958,0.0,0.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,1.5165750888103102,0.0,0.0,0.016375000000000008,0.0,0.5889812886714935,0.048270901608146205
0.5,60,44.8,ClearNoon,Town01,5,29.0,2.0,17.6,3.2863353450309964,11.4,1.816590212458495,0.2,0.447213595499958,0.2,0.447213595499958,0.0,0.0,12550.4,5610.919380992745,3254.2,433.2986268152716,1106.8,312.41910953077115,27.4,6.024948132556828,19.4,2.6076809620810595,2691.4,657.2695793964605,46.0,3.082207001484488,89042.4,30615.69964576998,0.11100000000000002,0.016616379343888366,0.8605356736977894,0.12596925503370202
0.9,60,44.8,ClearNoon,Town01,5,8.8,1.6431676725154982,8.0,2.7386127875258306,0.8,1.3038404810405297,0.2,0.44721359549995804,0.2,0.44721359549995804,0.0,0.0,49746.0,3379.165577476191,10968.0,1364.294139839353,1344.4,522.3325569022096,43.6,6.2289646009589745,11.4,3.2093613071762426,10035.8,1164.7185067646174,14.0,2.7386127875258306,624401.6,42210.626497364385,0.28739333333333333,0.011971308509538767,2.1536156805356343,0.3108526440664527
1.0,60,44.5,ClearNoon,Town01,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67161.0,5645.540540993396,13024.0,339.4112549695428,892.0,59.39696961966999,46.5,19.091883092036785,7.5,0.7071067811865476,12129.5,23.33452377915607,4.0,0.0,820128.5,24930.463784294105,0.3464520833333333,0.010697936343701454,3.006128031015396,0.6029366275972318
