penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,0,0.0,ClearNoon,Town05,5,1086.0,349.1031366229756,0.0,0.0,1086.0,349.1031366229756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016375000000000008,0.0,0.7276193014780679,0.010250612610982621
0.5,0,0.0,ClearNoon,Town05,5,1129.4,328.0416132139336,519.0,181.66177363441105,610.4,175.4545525200187,0.0,0.0,0.0,0.0,0.0,0.0,3384.4,860.357658186408,1107.4,286.5759934118697,1034.6,260.1937739454963,25.8,7.563068160475615,0.2,0.44721359549995804,0.016375000000000008,0.0,0.8557981141408284,0.05112450011279467
1.0,0,0.0,ClearNoon,Town05,5,1029.6,305.3290028804994,1029.6,305.3290028804994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5028.4,704.7200153252354,2006.4,246.87608227610872,2218.8,475.1796502376759,37.0,9.513148795220223,0.2,0.44721359549995804,0.016375000000000008,0.0,1.0331178772449494,0.03731482151046464
